order_id,order_date,category,sub_category,region,supply_chain_status,inventory_days,quantity,unit_cost,unit_price,discount_pct,gross_revenue,total_cost,net_revenue,net_profit,profit_margin_pct
ORD-10040,2023-01-14,Apparel,Pants,East,On-Time,31,1,347.95,566.51,0.05,566.51,347.95,538.18,190.23,35.35
ORD-10041,2023-10-25,Apparel,Footwear,West,On-Time,32,4,282.73,580.14,0.00,2320.56,1130.92,2320.56,1189.64,51.27
ORD-10042,2023-08-05,Electronics,Computers,North,On-Time,23,1,191.84,362.92,0.05,362.92,191.84,344.77,152.93,44.36
ORD-10043,2023-03-04,Apparel,Pants,East,"Delayed - Transit",107,3,201.29,261.50,0.51,784.50,603.87,384.41,-219.47,-57.09
ORD-10044,2023-01-18,Apparel,Footwear,East,On-Time,46,1,360.12,688.70,0.00,688.70,360.12,688.70,328.58,47.71
ORD-10045,2023-07-10,Apparel,Pants,North,On-Time,30,5,264.93,509.22,0.00,2546.10,1324.65,2546.10,1221.45,47.97
ORD-10046,2023-10-23,Furniture,Desks,North,On-Time,123,2,123.02,135.93,0.41,271.86,246.04,160.40,-85.64,-53.39
ORD-10047,2023-03-21,Furniture,Desks,West,On-Time,118,2,71.87,75.49,0.45,150.98,143.74,83.04,-60.70,-73.10
ORD-10048,2023-04-02,Apparel,Pants,East,On-Time,46,3,39.86,68.12,0.05,204.36,119.58,194.14,74.56,38.41
ORD-10049,2023-09-16,Apparel,Shirts,West,On-Time,36,3,31.64,74.40,0.00,223.20,94.92,223.20,128.28,57.47
ORD-10050,2023-10-22,Electronics,Accessories,South,On-Time,19,5,351.88,651.18,0.05,3255.90,1759.40,3093.11,1333.71,43.12
ORD-10051,2023-05-07,Furniture,Chairs,West,"Delayed - Customs",153,4,43.30,50.30,0.45,201.20,173.20,110.66,-62.54,-56.52
ORD-10052,2023-07-10,Electronics,Audio,North,"Delayed - Customs",95,4,21.60,26.32,0.37,105.28,86.40,66.33,-20.07,-30.26
ORD-10053,2023-05-14,Furniture,Desks,South,On-Time,139,5,41.62,48.91,0.43,244.55,208.10,139.39,-68.71,-49.29
ORD-10054,2023-09-03,Furniture,Chairs,East,On-Time,104,3,64.49,80.93,0.41,242.79,193.47,143.25,-50.22,-35.06
ORD-10055,2023-10-03,Electronics,Computers,West,On-Time,45,5,243.55,550.92,0.00,2754.60,1217.75,2754.60,1536.85,55.79
ORD-10056,2023-03-06,Furniture,Tables,East,On-Time,115,1,388.56,473.30,0.38,473.30,388.56,293.45,-95.11,-32.41
ORD-10057,2023-07-23,Furniture,Desks,East,On-Time,85,5,120.50,130.62,0.05,653.10,602.50,620.45,17.95,2.89
ORD-10058,2023-11-12,Apparel,Pants,South,On-Time,20,4,53.25,85.85,0.05,343.40,213.00,326.23,113.23,34.71
ORD-10059,2023-05-12,Furniture,Uncategorized,North,On-Time,110,1,339.82,427.14,0.36,427.14,339.82,273.37,-66.45,-24.31
ORD-10060,2023-08-17,Apparel,Footwear,North,On-Time,38,2,200.88,425.11,0.05,850.22,401.76,807.71,405.95,50.26
ORD-10061,2023-01-24,Apparel,Footwear,North,On-Time,12,4,30.11,57.28,0.05,229.12,120.44,217.66,97.22,44.67
ORD-10062,2023-01-15,Electronics,Accessories,North,On-Time,33,4,206.63,410.23,0.05,1640.92,826.52,1558.87,732.35,46.98
ORD-10063,2023-11-03,Furniture,Chairs,North,On-Time,123,1,34.83,39.86,0.37,39.86,34.83,25.11,-9.72,-38.70
ORD-10064,2023-05-12,Electronics,Accessories,South,"Delayed - Transit",133,3,353.32,400.71,0.55,1202.13,1059.96,540.96,-519.00,-95.94
ORD-10065,2023-01-12,Electronics,Accessories,East,On-Time,59,3,394.65,644.53,0.00,1933.59,1183.95,1933.59,749.64,38.77
ORD-10066,2023-08-11,Electronics,Computers,West,On-Time,23,5,352.86,703.18,0.05,3515.90,1764.30,3340.11,1575.81,47.18
ORD-10067,2023-02-28,Apparel,Pants,South,On-Time,62,5,167.41,398.58,0.00,1992.90,837.05,1992.90,1155.85,58.00
ORD-10068,2023-06-01,Electronics,Accessories,West,On-Time,34,3,16.60,38.19,0.05,114.57,49.80,108.84,59.04,54.25
ORD-10069,2023-12-29,Electronics,Computers,West,On-Time,17,4,393.89,633.26,0.00,2533.04,1575.56,2533.04,957.48,37.80
ORD-10070,2023-11-05,Furniture,Chairs,East,On-Time,104,3,151.69,171.44,0.45,514.32,455.07,282.88,-172.19,-60.87
ORD-10071,2023-11-16,Apparel,Footwear,North,"Delayed - Transit",141,1,207.21,258.16,0.51,258.16,207.21,126.50,-80.71,-63.80
ORD-10072,2023-02-17,Apparel,Pants,West,On-Time,39,1,20.78,43.06,0.05,43.06,20.78,40.91,20.13,49.20
ORD-10073,2023-07-12,Furniture,Chairs,West,"Delayed - Customs",156,2,46.66,61.71,0.63,123.42,93.32,45.67,-47.65,-104.36
ORD-10074,2023-01-08,Apparel,Footwear,North,"Delayed - Transit",115,5,169.21,208.62,0.39,1043.10,846.05,636.29,-209.76,-32.97
ORD-10075,2023-10-15,Electronics,Audio,South,"Delayed - Customs",84,3,121.04,157.68,0.05,473.04,363.12,449.39,86.27,19.20
ORD-10076,2023-04-12,Apparel,Shirts,South,On-Time,42,2,258.94,552.53,0.00,1105.06,517.88,1105.06,587.18,53.14
ORD-10077,2023-04-02,Apparel,Pants,South,On-Time,30,1,380.11,742.68,0.00,742.68,380.11,742.68,362.57,48.82
ORD-10078,2023-09-07,Apparel,Footwear,North,On-Time,11,3,170.02,352.77,0.00,1058.31,510.06,1058.31,548.25,51.80
ORD-10079,2023-06-26,Furniture,Tables,South,On-Time,158,2,297.91,377.75,0.44,755.50,595.82,423.08,-172.74,-40.83
ORD-10080,2023-09-26,Electronics,Computers,West,On-Time,28,5,393.08,915.64,0.05,4578.20,1965.40,4349.29,2383.89,54.81
ORD-10081,2023-02-07,Apparel,Pants,South,On-Time,36,1,100.40,179.06,0.00,179.06,100.40,179.06,78.66,43.93
ORD-10082,2023-08-08,Furniture,Tables,West,On-Time,117,5,334.67,377.84,0.64,1889.20,1673.35,680.11,-993.24,-146.04
ORD-10083,2023-01-29,Apparel,Pants,South,"Delayed - Customs",109,5,156.39,197.00,0.41,985.00,781.95,581.15,-200.80,-34.55
ORD-10084,2023-04-16,Electronics,Computers,East,On-Time,47,4,246.52,462.85,0.05,1851.40,986.08,1758.83,772.75,43.94
ORD-10085,2023-01-13,Electronics,Accessories,South,On-Time,23,4,36.98,60.18,0.05,240.72,147.92,228.68,80.76,35.32
ORD-10086,2023-06-02,Furniture,Chairs,South,"Delayed - Transit",140,4,288.63,364.76,0.62,1459.04,1154.52,554.44,-600.08,-108.23
ORD-10087,2023-06-24,Apparel,Shirts,West,On-Time,22,1,343.57,564.50,0.00,564.50,343.57,564.50,220.93,39.14
ORD-10088,2023-04-04,Furniture,Desks,West,On-Time,87,3,71.79,83.93,0.61,251.79,215.37,98.20,-117.17,-119.32
ORD-10089,2023-11-01,Apparel,Shirts,East,On-Time,5,2,129.30,292.19,0.05,584.38,258.60,555.16,296.56,53.42
ORD-10090,2023-03-05,Apparel,Pants,North,On-Time,52,3,219.10,518.50,0.00,1555.50,657.30,1555.50,898.20,57.74
ORD-10091,2023-11-24,Apparel,Shirts,West,On-Time,46,1,183.53,420.12,0.05,420.12,183.53,399.11,215.58,54.02
ORD-10092,2023-02-07,Furniture,Chairs,South,On-Time,112,1,242.16,278.75,0.50,278.75,242.16,139.38,-102.79,-73.75
ORD-10093,2023-01-05,Furniture,Desks,West,On-Time,56,2,79.84,89.96,0.05,179.92,159.68,170.92,11.24,6.58
ORD-10094,2023-09-24,Apparel,Footwear,East,On-Time,30,2,80.55,160.45,0.00,320.90,161.10,320.90,159.80,49.80
ORD-10095,2023-11-10,Apparel,Footwear,East,"Delayed - Customs",106,5,128.40,160.62,0.57,803.10,642.00,345.33,-296.67,-85.91
ORD-10096,2023-10-01,Furniture,Tables,West,On-Time,116,1,43.50,47.86,0.42,47.86,43.50,27.76,-15.74,-56.71
ORD-10097,2023-08-02,Electronics,Computers,South,On-Time,61,1,124.67,241.87,0.05,241.87,124.67,229.78,105.11,45.74
ORD-10098,2023-12-14,Apparel,Pants,North,"Delayed - Transit",116,2,109.51,117.65,0.47,235.30,219.02,124.71,-94.31,-75.62
ORD-10099,2023-10-19,Furniture,Desks,North,"Delayed - Transit",108,4,56.38,74.95,0.39,299.80,225.52,182.88,-42.64,-23.32
ORD-10100,2023-12-30,Electronics,Computers,North,On-Time,29,3,273.01,476.72,0.05,1430.16,819.03,1358.65,539.62,39.72
ORD-10101,2023-10-28,Apparel,Shirts,East,On-Time,27,5,177.10,398.77,0.00,1993.85,885.50,1993.85,1108.35,55.59
ORD-10102,2023-01-30,Apparel,Shirts,North,"Delayed - Transit",132,4,205.53,263.17,0.58,1052.68,822.12,442.13,-379.99,-85.95
ORD-10103,2023-05-13,Furniture,Chairs,West,On-Time,125,5,16.27,19.85,0.64,99.25,81.35,35.73,-45.62,-127.68
ORD-10104,2023-08-26,Furniture,Chairs,North,On-Time,131,1,28.95,37.46,0.60,37.46,28.95,14.98,-13.97,-93.21
ORD-10105,2023-04-26,Apparel,Footwear,South,On-Time,20,4,166.54,272.32,0.05,1089.28,666.16,1034.82,368.66,35.63
ORD-10106,2023-01-08,Apparel,Pants,East,On-Time,31,5,125.76,233.66,0.00,1168.30,628.80,1168.30,539.50,46.18
ORD-10107,2023-03-29,Furniture,Tables,South,On-Time,190,2,94.28,112.84,0.44,225.68,188.56,126.38,-62.18,-49.20
ORD-10108,2023-11-01,Apparel,Pants,West,On-Time,26,1,140.68,315.84,0.05,315.84,140.68,300.05,159.37,53.11
ORD-10109,2023-12-04,Furniture,Desks,South,On-Time,97,1,398.55,536.62,0.50,536.62,398.55,268.31,-130.24,-48.54
ORD-10110,2023-05-29,Furniture,Tables,West,On-Time,120,3,158.42,173.26,0.35,519.78,475.26,337.86,-137.40,-40.67
ORD-10111,2023-07-01,Furniture,Chairs,East,"Delayed - Transit",91,5,177.23,190.97,0.45,954.85,886.15,525.17,-360.98,-68.74
ORD-10112,2023-07-02,Apparel,Footwear,East,"Delayed - Customs",136,5,345.69,439.43,0.52,2197.15,1728.45,1054.63,-673.82,-63.89
ORD-10113,2023-02-01,Furniture,Tables,West,On-Time,145,4,106.12,142.55,0.37,570.20,424.48,359.23,-65.25,-18.17
ORD-10114,2023-09-27,Apparel,Shirts,North,On-Time,43,3,158.78,312.13,0.05,936.39,476.34,889.57,413.23,46.45
ORD-10115,2023-03-11,Furniture,Desks,East,On-Time,112,1,231.71,299.98,0.51,299.98,231.71,146.99,-84.72,-57.64
ORD-10116,2023-09-17,Furniture,Tables,East,On-Time,85,2,235.07,269.96,0.05,539.92,470.14,512.92,42.78,8.34
ORD-10117,2023-11-03,Apparel,Pants,South,"Delayed - Transit",137,5,82.24,94.94,0.50,474.70,411.20,237.35,-173.85,-73.25
ORD-10118,2023-01-25,Furniture,Desks,East,"Delayed - Transit",103,3,159.78,197.32,0.44,591.96,479.34,331.50,-147.84,-44.60
ORD-10119,2023-10-03,Furniture,Chairs,West,"Delayed - Transit",97,1,326.27,353.36,0.63,353.36,326.27,130.74,-195.53,-149.55
ORD-10120,2023-12-18,Apparel,Pants,East,On-Time,46,1,377.46,730.82,0.00,730.82,377.46,730.82,353.36,48.35
ORD-10121,2023-03-23,Apparel,Shirts,North,On-Time,33,5,120.72,242.24,0.00,1211.20,603.60,1211.20,607.60,50.17
ORD-10122,2023-06-04,Electronics,Accessories,East,On-Time,27,4,18.22,35.60,0.00,142.40,72.88,142.40,69.52,48.82
ORD-10123,2023-10-03,Apparel,Footwear,East,On-Time,43,1,284.73,475.57,0.00,475.57,284.73,475.57,190.84,40.13
ORD-10124,2023-07-28,Furniture,Tables,West,On-Time,118,4,381.56,431.09,0.53,1724.36,1526.24,810.45,-715.79,-88.32
ORD-10125,2023-04-21,Apparel,Footwear,East,On-Time,22,4,182.81,397.10,0.00,1588.40,731.24,1588.40,857.16,53.96
ORD-10126,2023-12-25,Apparel,Pants,South,"Delayed - Customs",135,2,359.71,467.00,0.49,934.00,719.42,476.34,-243.08,-51.03
ORD-10127,2023-01-04,Furniture,Uncategorized,South,On-Time,98,1,73.97,95.97,0.55,95.97,73.97,43.19,-30.78,-71.28
ORD-10128,2023-05-20,Furniture,Chairs,East,On-Time,127,1,46.11,49.62,0.35,49.62,46.11,32.25,-13.86,-42.96
ORD-10129,2023-02-10,Furniture,Chairs,North,On-Time,112,1,375.22,465.61,0.41,465.61,375.22,274.71,-100.51,-36.59
ORD-10130,2023-06-24,Furniture,Desks,West,On-Time,137,5,301.81,321.52,0.48,1607.60,1509.05,835.95,-673.10,-80.52
ORD-10131,2023-11-12,Apparel,Shirts,South,On-Time,25,1,396.42,860.29,0.00,860.29,396.42,860.29,463.87,53.92
ORD-10132,2023-01-25,Electronics,Computers,East,On-Time,14,5,171.19,314.09,0.00,1570.45,855.95,1570.45,714.50,45.50
ORD-10133,2023-06-14,Apparel,Shirts,North,On-Time,42,2,142.93,316.42,0.00,632.84,285.86,632.84,346.98,54.83
ORD-10134,2023-03-15,Electronics,Audio,North,On-Time,35,2,41.46,74.90,0.00,149.80,82.92,149.80,66.88,44.65
ORD-10135,2023-12-29,Furniture,Chairs,South,"Delayed - Customs",116,5,132.20,160.55,0.58,802.75,661.00,337.16,-323.85,-96.05
ORD-10136,2023-05-25,Apparel,Pants,North,On-Time,16,2,297.76,612.13,0.05,1224.26,595.52,1163.05,567.53,48.80
ORD-10137,2023-04-20,Apparel,Pants,East,On-Time,16,5,110.98,244.01,0.05,1220.05,554.90,1159.05,604.15,52.12
ORD-10138,2023-10-28,Furniture,Chairs,West,On-Time,106,1,145.38,171.07,0.46,171.07,145.38,92.38,-53.00,-57.38
ORD-10139,2023-09-07,Electronics,Uncategorized,South,On-Time,11,3,337.68,564.98,0.05,1694.94,1013.04,1610.19,597.15,37.09
ORD-10140,2023-05-27,Electronics,Accessories,South,On-Time,29,2,130.73,311.72,0.00,623.44,261.46,623.44,361.98,58.06
ORD-10141,2023-11-20,Electronics,Accessories,South,On-Time,30,1,250.45,587.43,0.05,587.43,250.45,558.06,307.61,55.12
ORD-10142,2023-07-07,Furniture,Chairs,North,On-Time,97,4,125.03,144.60,0.37,578.40,500.12,364.39,-135.73,-37.25
ORD-10143,2023-09-18,Furniture,Desks,West,"Delayed - Transit",101,3,374.86,497.52,0.54,1492.56,1124.58,686.58,-438.00,-63.80
ORD-10144,2023-09-04,Furniture,Chairs,North,On-Time,90,1,28.73,33.33,0.36,33.33,28.73,21.33,-7.40,-34.69
ORD-10145,2023-01-22,Apparel,Shirts,South,On-Time,50,5,178.91,306.50,0.05,1532.50,894.55,1455.88,561.33,38.56
ORD-10146,2023-05-18,Apparel,Shirts,South,On-Time,19,1,77.96,171.59,0.00,171.59,77.96,171.59,93.63,54.57
ORD-10147,2023-12-29,Electronics,Accessories,West,On-Time,24,5,93.74,212.43,0.00,1062.15,468.70,1062.15,593.45,55.87
ORD-10148,2023-04-23,Apparel,Pants,North,"Delayed - Transit",113,5,275.10,321.90,0.44,1609.50,1375.50,901.32,-474.18,-52.61
ORD-10149,2023-06-11,Furniture,Tables,South,On-Time,117,2,85.96,98.53,0.49,197.06,171.92,100.50,-71.42,-71.06
ORD-10150,2023-05-10,Apparel,Pants,North,"Delayed - Customs",98,4,367.62,480.11,0.56,1920.44,1470.48,844.99,-625.49,-74.02
ORD-10151,2023-09-02,Electronics,Computers,South,On-Time,28,1,85.76,187.90,0.00,187.90,85.76,187.90,102.14,54.36
ORD-10152,2023-05-20,Furniture,Desks,West,On-Time,144,1,140.77,173.31,0.63,173.31,140.77,64.12,-76.65,-119.53
ORD-10153,2023-12-27,Apparel,Shirts,North,"Delayed - Customs",108,3,41.66,51.61,0.45,154.83,124.98,85.16,-39.82,-46.77
ORD-10154,2023-05-09,Apparel,Shirts,North,On-Time,15,2,77.25,164.81,0.05,329.62,154.50,313.14,158.64,50.66
ORD-10155,2023-09-23,Apparel,Footwear,South,"Delayed - Transit",150,5,15.64,18.98,0.36,94.90,78.20,60.74,-17.46,-28.75
ORD-10156,2023-11-09,Apparel,Shirts,East,"Delayed - Transit",139,4,169.20,200.71,0.47,802.84,676.80,425.51,-251.29,-59.06
ORD-10157,2023-10-12,Furniture,Desks,South,On-Time,78,2,71.19,86.41,0.00,172.82,142.38,172.82,30.44,17.61
ORD-10158,2023-09-04,Apparel,Pants,West,On-Time,33,5,113.94,204.37,0.05,1021.85,569.70,970.76,401.06,41.31
ORD-10159,2023-11-25,Apparel,Footwear,West,"Delayed - Customs",118,2,187.94,244.46,0.45,488.92,375.88,268.91,-106.97,-39.78
ORD-10160,2023-01-17,Electronics,Computers,West,On-Time,52,5,39.77,73.18,0.05,365.90,198.85,347.61,148.76,42.79
ORD-10161,2023-08-11,Furniture,Tables,West,On-Time,86,1,129.59,146.26,0.53,146.26,129.59,68.74,-60.85,-88.52
ORD-10162,2023-10-11,Electronics,Accessories,West,On-Time,24,1,29.79,58.47,0.05,58.47,29.79,55.55,25.76,46.37
ORD-10163,2023-01-22,Apparel,Shirts,North,"Delayed - Transit",126,1,68.62,87.46,0.38,87.46,68.62,54.23,-14.39,-26.55
ORD-10164,2023-01-17,Furniture,Desks,North,"Delayed - Transit",136,5,299.41,400.72,0.37,2003.60,1497.05,1262.27,-234.78,-18.60
ORD-10165,2023-04-22,Furniture,Chairs,North,On-Time,133,2,302.43,322.34,0.46,644.68,604.86,348.13,-256.73,-73.75
ORD-10166,2023-04-16,Electronics,Accessories,West,On-Time,30,2,377.46,747.96,0.05,1495.92,754.92,1421.12,666.20,46.88
ORD-10167,2023-01-20,Apparel,Pants,East,On-Time,37,2,202.26,326.69,0.05,653.38,404.52,620.71,216.19,34.83
ORD-10168,2023-04-17,Electronics,Accessories,North,On-Time,47,4,183.86,356.47,0.00,1425.88,735.44,1425.88,690.44,48.42
ORD-10169,2023-05-25,Electronics,Audio,East,On-Time,37,2,122.39,287.42,0.00,574.84,244.78,574.84,330.06,57.42
ORD-10170,2023-04-19,Furniture,Chairs,South,"Delayed - Customs",94,1,60.02,69.07,0.54,69.07,60.02,31.77,-28.25,-88.91
ORD-10171,2023-04-04,Furniture,Tables,West,"Delayed - Transit",143,2,173.83,228.82,0.44,457.64,347.66,256.28,-91.38,-35.66
ORD-10172,2023-10-01,Electronics,Computers,West,On-Time,26,4,104.06,210.62,0.00,842.48,416.24,842.48,426.24,50.59
ORD-10173,2023-11-13,Electronics,Accessories,West,On-Time,20,2,89.49,194.70,0.00,389.40,178.98,389.40,210.42,54.04
ORD-10174,2023-02-05,Electronics,Computers,West,On-Time,28,4,17.98,42.76,0.05,171.04,71.92,162.49,90.57,55.74
ORD-10175,2023-05-10,Apparel,Shirts,North,"Delayed - Transit",74,3,36.11,41.28,0.05,123.84,108.33,117.65,9.32,7.92
ORD-10176,2023-06-18,Electronics,Computers,West,On-Time,48,2,312.27,598.88,0.05,1197.76,624.54,1137.87,513.33,45.11
ORD-10177,2023-01-17,Apparel,Footwear,East,"Delayed - Transit",177,1,227.69,289.64,0.46,289.64,227.69,156.41,-71.28,-45.58
ORD-10178,2023-07-08,Apparel,Pants,West,On-Time,33,1,230.34,536.22,0.00,536.22,230.34,536.22,305.88,57.04
ORD-10179,2023-10-05,Furniture,Tables,West,"Delayed - Customs",90,2,390.57,523.25,0.61,1046.50,781.14,408.14,-373.01,-91.39
ORD-10180,2023-11-21,Furniture,Chairs,East,On-Time,110,2,156.62,186.80,0.41,373.60,313.24,220.42,-92.82,-42.11
ORD-10181,2023-12-20,Electronics,Computers,East,On-Time,32,5,32.01,59.35,0.00,296.75,160.05,296.75,136.70,46.07
ORD-10182,2023-01-02,Furniture,Desks,West,On-Time,130,4,193.90,244.76,0.41,979.04,775.60,577.63,-197.97,-34.27
ORD-10183,2023-04-29,Furniture,Tables,North,On-Time,108,2,361.90,385.31,0.59,770.62,723.80,315.95,-407.85,-129.08
ORD-10184,2023-02-06,Electronics,Audio,West,On-Time,29,3,143.74,272.93,0.05,818.79,431.22,777.85,346.63,44.56
ORD-10185,2023-10-16,Apparel,Pants,North,"Delayed - Customs",56,2,125.18,160.68,0.05,321.36,250.36,305.29,54.93,17.99
ORD-10186,2023-01-03,Furniture,Chairs,South,"Delayed - Transit",137,1,394.11,446.93,0.57,446.93,394.11,192.18,-201.93,-105.07
ORD-10187,2023-12-03,Apparel,Pants,East,On-Time,48,1,215.09,480.88,0.00,480.88,215.09,480.88,265.79,55.27
ORD-10188,2023-02-06,Electronics,Audio,North,On-Time,45,2,210.16,408.38,0.05,816.76,420.32,775.92,355.60,45.83
ORD-10189,2023-12-09,Apparel,Shirts,East,On-Time,39,2,72.07,136.63,0.05,273.26,144.14,259.60,115.46,44.48
ORD-10190,2023-08-23,Electronics,Audio,South,On-Time,24,5,313.15,609.05,0.05,3045.25,1565.75,2892.99,1327.24,45.88
ORD-10191,2023-11-04,Apparel,Pants,West,On-Time,23,5,63.49,137.14,0.00,685.70,317.45,685.70,368.25,53.70
ORD-10192,2023-01-02,Apparel,Pants,South,On-Time,36,5,237.80,505.12,0.00,2525.60,1189.00,2525.60,1336.60,52.92
ORD-10193,2023-06-20,Apparel,Shirts,East,On-Time,30,2,308.36,680.95,0.00,1361.90,616.72,1361.90,745.18,54.72
ORD-10194,2023-11-21,Apparel,Shirts,South,On-Time,36,4,355.22,586.92,0.05,2347.68,1420.88,2230.30,809.42,36.29
ORD-10195,2023-07-15,Apparel,Shirts,North,On-Time,24,4,396.07,894.55,0.00,3578.20,1584.28,3578.20,1993.92,55.72
ORD-10196,2023-09-21,Furniture,Desks,East,On-Time,83,3,208.62,228.30,0.00,684.90,625.86,684.90,59.04,8.62
ORD-10197,2023-12-18,Furniture,Chairs,North,On-Time,141,1,73.73,98.49,0.58,98.49,73.73,41.37,-32.36,-78.24
ORD-10198,2023-08-30,Apparel,Shirts,North,On-Time,22,2,148.36,278.21,0.05,556.42,296.72,528.60,231.88,43.87
