order_id,order_date,category,sub_category,region,supply_chain_status,inventory_days,quantity,unit_cost,unit_price,discount_pct,gross_revenue,total_cost,net_revenue,net_profit,profit_margin_pct,season,ai_cluster,ai_risk_profile
ORD-10131,2023-11-12,Apparel,Shirts,South,On-Time,25,1,396.42,860.29,0.0,860.29,396.42,860.29,463.87,53.92,Fall,1.0,Tier 1: Fast Mover
ORD-10132,2023-01-25,Electronics,Computers,East,On-Time,14,5,171.19,314.09,0.0,1570.45,855.95,1570.45,714.5,45.5,Winter,1.0,Tier 1: Fast Mover
ORD-10133,2023-06-14,Apparel,Shirts,North,On-Time,42,2,142.93,316.42,0.0,632.84,285.86,632.84,346.98,54.83,Summer,1.0,Tier 1: Fast Mover
ORD-10134,2023-03-15,Electronics,Audio,North,On-Time,35,2,41.46,74.9,0.0,149.8,82.92,149.8,66.88,44.65,Spring,1.0,Tier 1: Fast Mover
ORD-10135,2023-12-29,Furniture,Chairs,South,Delayed - Customs,116,5,132.2,160.55,0.58,802.75,661.0,337.16,-323.85,-96.05,Winter,2.0,Tier 3: Dead Stock
ORD-10136,2023-05-25,Apparel,Pants,North,On-Time,16,2,297.76,612.13,0.05,1224.26,595.52,1163.05,567.53,48.8,Spring,1.0,Tier 1: Fast Mover
ORD-10137,2023-04-20,Apparel,Pants,East,On-Time,16,5,110.98,244.01,0.05,1220.05,554.9,1159.05,604.15,52.12,Spring,1.0,Tier 1: Fast Mover
ORD-10138,2023-10-28,Furniture,Chairs,West,On-Time,106,1,145.38,171.07,0.46,171.07,145.38,92.38,-53.0,-57.38,Fall,0.0,Tier 2: Warning
ORD-10139,2023-09-07,Electronics,Uncategorized,South,On-Time,11,3,337.68,564.98,0.05,1694.94,1013.04,1610.19,597.15,37.09,Fall,1.0,Tier 1: Fast Mover
ORD-10140,2023-05-27,Electronics,Accessories,South,On-Time,29,2,130.73,311.72,0.0,623.44,261.46,623.44,361.98,58.06,Spring,1.0,Tier 1: Fast Mover
ORD-10141,2023-11-20,Electronics,Accessories,South,On-Time,30,1,250.45,587.43,0.05,587.43,250.45,558.06,307.61,55.12,Fall,1.0,Tier 1: Fast Mover
ORD-10142,2023-07-07,Furniture,Chairs,North,On-Time,97,4,125.03,144.6,0.37,578.4,500.12,364.39,-135.73,-37.25,Summer,0.0,Tier 2: Warning
ORD-10143,2023-09-18,Furniture,Desks,West,Delayed - Transit,101,3,374.86,497.52,0.54,1492.56,1124.58,686.58,-438.0,-63.8,Fall,0.0,Tier 2: Warning
ORD-10144,2023-09-04,Furniture,Chairs,North,On-Time,90,1,28.73,33.33,0.36,33.33,28.73,21.33,-7.4,-34.69,Fall,0.0,Tier 2: Warning
ORD-10145,2023-01-22,Apparel,Shirts,South,On-Time,50,5,178.91,306.5,0.05,1532.5,894.55,1455.88,561.33,38.56,Winter,1.0,Tier 1: Fast Mover
ORD-10146,2023-05-18,Apparel,Shirts,South,On-Time,19,1,77.96,171.59,0.0,171.59,77.96,171.59,93.63,54.57,Spring,1.0,Tier 1: Fast Mover
ORD-10147,2023-12-29,Electronics,Accessories,West,On-Time,24,5,93.74,212.43,0.0,1062.15,468.7,1062.15,593.45,55.87,Winter,1.0,Tier 1: Fast Mover
ORD-10148,2023-04-23,Apparel,Pants,North,Delayed - Transit,113,5,275.1,321.9,0.44,1609.5,1375.5,901.32,-474.18,-52.61,Spring,0.0,Tier 2: Warning
ORD-10149,2023-06-11,Furniture,Tables,South,On-Time,117,2,85.96,98.53,0.49,197.06,171.92,100.5,-71.42,-71.06,Summer,0.0,Tier 2: Warning
ORD-10150,2023-05-10,Apparel,Pants,North,Delayed - Customs,98,4,367.62,480.11,0.56,1920.44,1470.48,844.99,-625.49,-74.02,Spring,0.0,Tier 2: Warning
ORD-10151,2023-09-02,Electronics,Computers,South,On-Time,28,1,85.76,187.9,0.0,187.9,85.76,187.9,102.14,54.36,Fall,1.0,Tier 1: Fast Mover
ORD-10152,2023-05-20,Furniture,Desks,West,On-Time,144,1,140.77,173.31,0.63,173.31,140.77,64.12,-76.65,-119.53,Spring,2.0,Tier 3: Dead Stock
ORD-10153,2023-12-27,Apparel,Shirts,North,Delayed - Customs,108,3,41.66,51.61,0.45,154.83,124.98,85.16,-39.82,-46.77,Winter,0.0,Tier 2: Warning
