Transaction_ID,Purchase_Date,Boutique_City,Product_Line,Customer_Tier,Traffic_Source,Units_Sold,Unit_Retail_Price,Unit_Manufacturing_Cost,Net_Revenue,Total_Cost,Gross_Profit,Profit_Margin_Pct
5000609,2022-01-02,New York,Designer Handbags,First-Time Buyer,Organic Search,1,2943,599,2943,599,2344,79.6
5009301,2022-01-02,Dubai,Designer Handbags,Gold,Exclusive Invite,1,3718,1285,3718,1285,2433,65.4
5001777,2022-01-02,Tokyo,Fine Jewelry,Silver,Organic Search,2,9316,2310,18632,4620,14012,75.2
5008983,2022-01-02,Dubai,Designer Handbags,Silver,Walk-in,1,3036,955,3036,955,2081,68.5
5009027,2022-01-02,Milan,Designer Handbags,First-Time Buyer,Walk-in,1,3197,1009,3197,1009,2188,68.4
5002817,2022-01-02,Tokyo,Designer Handbags,Silver,Organic Search,1,3829,635,3829,635,3194,83.4
5005644,2022-01-02,Tokyo,Fine Jewelry,Silver,Organic Search,1,7766,2041,7766,2041,5725,73.7
5002454,2022-01-03,Dubai,Designer Handbags,First-Time Buyer,Walk-in,3,3632,623,10896,1869,9027,82.8
5002531,2022-01-03,New York,Designer Handbags,Gold,Organic Search,1,3667,858,3667,858,2809,76.6
5007792,2022-01-03,Paris,Luxury Watches,Silver,Organic Search,1,12362,4294,12362,4294,8068,65.3
5009259,2022-01-03,Paris,Luxury Watches,Silver,Exclusive Invite,1,13333,2554,13333,2554,10779,80.8
5003666,2022-01-03,Tokyo,Luxury Watches,First-Time Buyer,Paid Social,1,12354,2992,12354,2992,9362,75.8
5008396,2022-01-03,Milan,Fine Jewelry,First-Time Buyer,Walk-in,1,7997,1445,7997,1445,6552,81.9
5007405,2022-01-03,Dubai,Luxury Watches,First-Time Buyer,Organic Search,1,13065,2412,13065,2412,10653,81.5
5000147,2022-01-03,Tokyo,Luxury Watches,First-Time Buyer,Walk-in,1,14402,2323,14402,2323,12079,83.9
5001720,2022-01-03,Paris,Designer Handbags,Silver,Walk-in,1,3219,1111,3219,1111,2108,65.5
5004874,2022-01-03,Milan,Designer Handbags,Platinum (VIP),Paid Social,2,3378,578,6756,1156,5600,82.9
5009438,2022-01-03,New York,Fine Jewelry,Silver,Walk-in,1,8905,1341,8905,1341,7564,84.9
5008018,2022-01-03,New York,Designer Handbags,Platinum (VIP),Paid Social,1,3178,676,3178,676,2502,78.7
5008552,2022-01-03,Milan,Fine Jewelry,Gold,Walk-in,1,8204,2007,8204,2007,6197,75.5
5001812,2022-01-03,Tokyo,Designer Handbags,Gold,Organic Search,1,2984,536,2984,536,2448,82.0
5003372,2022-01-03,Dubai,Designer Handbags,Gold,Exclusive Invite,1,3012,646,3012,646,2366,78.6
5007888,2022-01-04,Dubai,Fine Jewelry,First-Time Buyer,Exclusive Invite,1,9753,2335,9753,2335,7418,76.1
5008546,2022-01-04,New York,Luxury Watches,First-Time Buyer,Paid Social,1,13513,2734,13513,2734,10779,79.8
5005281,2022-01-04,Paris,Designer Handbags,Platinum (VIP),Organic Search,1,3103,663,3103,663,2440,78.6
5009822,2022-01-04,Tokyo,Haute Fragrance,First-Time Buyer,Paid Social,1,319,86,319,86,233,73.0
5004156,2022-01-04,New York,Haute Fragrance,First-Time Buyer,Exclusive Invite,2,384,76,768,152,616,80.2
5007764,2022-01-04,New York,Luxury Watches,First-Time Buyer,Exclusive Invite,3,13083,4193,39249,12579,26670,68.0
5002530,2022-01-04,Dubai,Designer Handbags,Gold,Paid Social,1,3758,1089,3758,1089,2669,71.0
5004766,2022-01-04,Dubai,Fine Jewelry,Silver,Exclusive Invite,1,8965,1753,8965,1753,7212,80.4
5006343,2022-01-04,New York,Luxury Watches,Silver,Organic Search,1,12746,3151,12746,3151,9595,75.3
5007846,2022-01-04,Tokyo,Luxury Watches,Gold,Walk-in,2,14535,3886,29070,7772,21298,73.3
5006632,2022-01-04,Dubai,Luxury Watches,First-Time Buyer,Walk-in,1,12754,2569,12754,2569,10185,79.9
5007935,2022-01-05,New York,Luxury Watches,First-Time Buyer,Organic Search,1,14755,2913,14755,2913,11842,80.3
5008310,2022-01-05,Tokyo,Luxury Watches,Gold,Organic Search,1,13838,3476,13838,3476,10362,74.9
5004925,2022-01-05,Tokyo,Luxury Watches,First-Time Buyer,Walk-in,1,12445,2133,12445,2133,10312,82.9
5008067,2022-01-05,Paris,Haute Fragrance,Silver,Organic Search,1,396,72,396,72,324,81.8
5001831,2022-01-05,New York,Luxury Watches,First-Time Buyer,Walk-in,1,14725,5010,14725,5010,9715,66.0
5004620,2022-01-05,Dubai,Designer Handbags,First-Time Buyer,Walk-in,1,3662,604,3662,604,3058,83.5
5003226,2022-01-05,Paris,Designer Handbags,First-Time Buyer,Organic Search,1,3110,1073,3110,1073,2037,65.5
5002398,2022-01-05,New York,Designer Handbags,Gold,Walk-in,1,3506,723,3506,723,2783,79.4
5002971,2022-01-05,Paris,Designer Handbags,Silver,Walk-in,1,3836,1251,3836,1251,2585,67.4
5009853,2022-01-05,Tokyo,Fine Jewelry,First-Time Buyer,Paid Social,1,8646,2412,8646,2412,6234,72.1
5004614,2022-01-05,Tokyo,Designer Handbags,Silver,Walk-in,1,3481,1003,3481,1003,2478,71.2
5003706,2022-01-05,Milan,Luxury Watches,First-Time Buyer,Organic Search,1,12147,3680,12147,3680,8467,69.7
5000241,2022-01-05,Milan,Fine Jewelry,First-Time Buyer,Organic Search,3,10038,2643,30114,7929,22185,73.7
5001116,2022-01-05,Paris,Haute Fragrance,Gold,Organic Search,1,407,94,407,94,313,76.9
5007512,2022-01-05,New York,Designer Handbags,Silver,Walk-in,1,3729,1051,3729,1051,2678,71.8
5001718,2022-01-05,Milan,Haute Fragrance,Silver,Exclusive Invite,1,342,96,342,96,246,71.9
5001811,2022-01-05,Milan,Fine Jewelry,First-Time Buyer,Organic Search,1,8602,2256,8602,2256,6346,73.8
5007280,2022-01-05,Milan,Fine Jewelry,Silver,Walk-in,2,9131,1881,18262,3762,14500,79.4
5007581,2022-01-06,Milan,Luxury Watches,Platinum (VIP),Exclusive Invite,1,12136,2147,12136,2147,9989,82.3
5007185,2022-01-06,New York,Luxury Watches,First-Time Buyer,Organic Search,1,12855,4105,12855,4105,8750,68.1
5001979,2022-01-06,New York,Luxury Watches,First-Time Buyer,Paid Social,1,12449,3429,12449,3429,9020,72.5
5005945,2022-01-06,Dubai,Designer Handbags,First-Time Buyer,Paid Social,1,3424,760,3424,760,2664,77.8
5003864,2022-01-06,Paris,Haute Fragrance,Platinum (VIP),Walk-in,3,409,66,1227,198,1029,83.9
5000925,2022-01-06,Tokyo,Designer Handbags,Silver,Exclusive Invite,1,3305,879,3305,879,2426,73.4
5005136,2022-01-06,Milan,Luxury Watches,Silver,Paid Social,1,11415,2767,11415,2767,8648,75.8
5005255,2022-01-06,New York,Designer Handbags,Silver,Paid Social,1,3408,1110,3408,1110,2298,67.4
5006472,2022-01-06,Tokyo,Luxury Watches,First-Time Buyer,Exclusive Invite,1,14646,4197,14646,4197,10449,71.3
5005161,2022-01-06,Dubai,Fine Jewelry,First-Time Buyer,Exclusive Invite,1,8399,2902,8399,2902,5497,65.4
5007633,2022-01-06,Paris,Fine Jewelry,Gold,Walk-in,1,9844,1806,9844,1806,8038,81.7
5002589,2022-01-06,New York,Designer Handbags,Silver,Exclusive Invite,1,3771,1226,3771,1226,2545,67.5
5007215,2022-01-06,Milan,Luxury Watches,Gold,Organic Search,1,14204,2722,14204,2722,11482,80.8
5002569,2022-01-06,Paris,Fine Jewelry,Silver,Paid Social,1,9845,2988,9845,2988,6857,69.6
5009609,2022-01-06,Paris,Fine Jewelry,First-Time Buyer,Walk-in,2,9032,2014,18064,4028,14036,77.7
5007213,2022-01-06,Dubai,Haute Fragrance,First-Time Buyer,Walk-in,1,408,74,408,74,334,81.9
5003672,2022-01-06,Tokyo,Luxury Watches,Silver,Organic Search,1,12009,4175,12009,4175,7834,65.2
5009991,2022-01-06,Tokyo,Luxury Watches,First-Time Buyer,Organic Search,1,14160,2682,14160,2682,11478,81.1
5002000,2022-01-06,Milan,Fine Jewelry,First-Time Buyer,Walk-in,1,9824,1784,9824,1784,8040,81.8
5002102,2022-01-07,Paris,Designer Handbags,Platinum (VIP),Paid Social,1,3225,803,3225,803,2422,75.1
5002563,2022-01-07,Dubai,Luxury Watches,Gold,Organic Search,1,12999,4289,12999,4289,8710,67.0
5003250,2022-01-07,Dubai,Designer Handbags,First-Time Buyer,Exclusive Invite,1,3775,1066,3775,1066,2709,71.8
5005574,2022-01-07,New York,Luxury Watches,Platinum (VIP),Paid Social,1,11471,3967,11471,3967,7504,65.4
5004689,2022-01-07,New York,Designer Handbags,First-Time Buyer,Paid Social,1,3050,830,3050,830,2220,72.8
5000441,2022-01-07,Paris,Designer Handbags,First-Time Buyer,Organic Search,1,3565,949,3565,949,2616,73.4
5003883,2022-01-07,Tokyo,Luxury Watches,Silver,Walk-in,1,12789,2875,12789,2875,9914,77.5
5004938,2022-01-07,Tokyo,Designer Handbags,Gold,Walk-in,2,3835,1095,7670,2190,5480,71.4
5001456,2022-01-07,Paris,Designer Handbags,Platinum (VIP),Walk-in,1,3834,1334,3834,1334,2500,65.2
5005457,2022-01-07,Paris,Designer Handbags,Silver,Paid Social,1,2891,741,2891,741,2150,74.4
5005189,2022-01-07,New York,Designer Handbags,Silver,Exclusive Invite,1,3619,1214,3619,1214,2405,66.5
5001169,2022-01-07,Paris,Designer Handbags,Gold,Paid Social,1,2882,892,2882,892,1990,69.0
5005658,2022-01-07,Paris,Designer Handbags,Platinum (VIP),Organic Search,1,3391,600,3391,600,2791,82.3
5004537,2022-01-07,New York,Luxury Watches,First-Time Buyer,Organic Search,1,14438,3400,14438,3400,11038,76.5
5004824,2022-01-07,Paris,Designer Handbags,Gold,Paid Social,1,3554,566,3554,566,2988,84.1
5002572,2022-01-07,New York,Fine Jewelry,Silver,Paid Social,1,9224,1895,9224,1895,7329,79.5
5001078,2022-01-08,New York,Designer Handbags,Silver,Organic Search,2,3529,817,7058,1634,5424,76.8
5001632,2022-01-08,Dubai,Fine Jewelry,Silver,Organic Search,1,8468,1721,8468,1721,6747,79.7
5006428,2022-01-08,Milan,Designer Handbags,Silver,Walk-in,1,2938,1025,2938,1025,1913,65.1
5004917,2022-01-08,Tokyo,Fine Jewelry,Silver,Walk-in,1,10022,2496,10022,2496,7526,75.1
5000729,2022-01-08,New York,Designer Handbags,Gold,Organic Search,3,3216,1109,9648,3327,6321,65.5
5002201,2022-01-08,New York,Designer Handbags,First-Time Buyer,Paid Social,1,3485,577,3485,577,2908,83.4
5007524,2022-01-08,Dubai,Designer Handbags,Gold,Organic Search,1,3637,1007,3637,1007,2630,72.3
5002857,2022-01-08,Tokyo,Fine Jewelry,Platinum (VIP),Walk-in,3,8020,2633,24060,7899,16161,67.2
5004608,2022-01-08,Paris,Designer Handbags,First-Time Buyer,Organic Search,2,3679,1090,7358,2180,5178,70.4
5008324,2022-01-08,Tokyo,Haute Fragrance,Silver,Organic Search,1,366,95,366,95,271,74.0
5001760,2022-01-09,Paris,Luxury Watches,First-Time Buyer,Exclusive Invite,1,14223,3245,14223,3245,10978,77.2
5006510,2022-01-09,Paris,Fine Jewelry,Gold,Organic Search,1,8933,2017,8933,2017,6916,77.4
5003645,2022-01-09,Paris,Haute Fragrance,First-Time Buyer,Exclusive Invite,1,339,79,339,79,260,76.7
5000546,2022-01-09,Tokyo,Luxury Watches,Gold,Organic Search,1,12926,3726,12926,3726,9200,71.2
5007154,2022-01-09,New York,Designer Handbags,Platinum (VIP),Exclusive Invite,1,3161,677,3161,677,2484,78.6
5000008,2022-01-09,Paris,Fine Jewelry,Platinum (VIP),Paid Social,1,9450,3056,9450,3056,6394,67.7
5008278,2022-01-09,Paris,Designer Handbags,First-Time Buyer,Paid Social,2,3284,691,6568,1382,5186,79.0
5008076,2022-01-09,New York,Fine Jewelry,Platinum (VIP),Walk-in,1,8266,2014,8266,2014,6252,75.6
5001769,2022-01-09,Dubai,Designer Handbags,Silver,Walk-in,3,2969,1014,8907,3042,5865,65.8
5006447,2022-01-09,Paris,Luxury Watches,First-Time Buyer,Organic Search,1,14530,2668,14530,2668,11862,81.6
5001280,2022-01-09,New York,Fine Jewelry,Gold,Walk-in,1,9382,2065,9382,2065,7317,78.0
5008624,2022-01-09,New York,Luxury Watches,Gold,Walk-in,1,12982,3937,12982,3937,9045,69.7
5001031,2022-01-09,Milan,Luxury Watches,Platinum (VIP),Walk-in,1,14381,3617,14381,3617,10764,74.8
5008358,2022-01-09,Dubai,Fine Jewelry,Platinum (VIP),Organic Search,1,8631,1421,8631,1421,7210,83.5
5006940,2022-01-09,Dubai,Haute Fragrance,First-Time Buyer,Exclusive Invite,1,401,134,401,134,267,66.6
5000809,2022-01-09,Tokyo,Luxury Watches,Silver,Exclusive Invite,1,14924,3593,14924,3593,11331,75.9
5007613,2022-01-09,New York,Designer Handbags,Silver,Paid Social,1,3762,669,3762,669,3093,82.2
5004066,2022-01-09,Paris,Haute Fragrance,Silver,Walk-in,1,384,117,384,117,267,69.5
5005217,2022-01-09,Dubai,Luxury Watches,Platinum (VIP),Paid Social,1,12105,3286,12105,3286,8819,72.9
5005887,2022-01-09,Tokyo,Haute Fragrance,Platinum (VIP),Paid Social,1,404,70,404,70,334,82.7
5004719,2022-01-09,Dubai,Designer Handbags,First-Time Buyer,Exclusive Invite,1,2979,456,2979,456,2523,84.7
5007011,2022-01-10,New York,Haute Fragrance,Gold,Paid Social,1,377,118,377,118,259,68.7
5005059,2022-01-10,Milan,Fine Jewelry,First-Time Buyer,Organic Search,1,8562,2326,8562,2326,6236,72.8
5008562,2022-01-10,Milan,Luxury Watches,Gold,Walk-in,1,14811,4507,14811,4507,10304,69.6
5009980,2022-01-10,Paris,Luxury Watches,First-Time Buyer,Exclusive Invite,1,11825,2843,11825,2843,8982,76.0
5001514,2022-01-10,New York,Luxury Watches,Gold,Organic Search,1,14860,2658,14860,2658,12202,82.1
5009615,2022-01-10,Milan,Fine Jewelry,Gold,Paid Social,1,8542,1348,8542,1348,7194,84.2
5006785,2022-01-10,Dubai,Fine Jewelry,First-Time Buyer,Walk-in,2,8351,2527,16702,5054,11648,69.7
5009317,2022-01-10,New York,Luxury Watches,Gold,Organic Search,1,14473,4108,14473,4108,10365,71.6
5003928,2022-01-10,Tokyo,Designer Handbags,First-Time Buyer,Exclusive Invite,1,3057,812,3057,812,2245,73.4
5000513,2022-01-10,New York,Haute Fragrance,Silver,Organic Search,1,344,84,344,84,260,75.6
5007268,2022-01-10,Dubai,Designer Handbags,Platinum (VIP),Paid Social,1,3069,763,3069,763,2306,75.1
5005914,2022-01-11,Paris,Fine Jewelry,Gold,Organic Search,1,7756,2140,7756,2140,5616,72.4
5000612,2022-01-11,Tokyo,Designer Handbags,First-Time Buyer,Organic Search,1,3012,1045,3012,1045,1967,65.3
5009879,2022-01-11,Paris,Haute Fragrance,First-Time Buyer,Organic Search,1,337,116,337,116,221,65.6
5009399,2022-01-11,New York,Fine Jewelry,First-Time Buyer,Walk-in,1,10147,3337,10147,3337,6810,67.1
5009391,2022-01-11,Dubai,Fine Jewelry,First-Time Buyer,Organic Search,1,8253,2576,8253,2576,5677,68.8
5001582,2022-01-11,Milan,Designer Handbags,Gold,Organic Search,1,2899,891,2899,891,2008,69.3
5004734,2022-01-11,New York,Designer Handbags,Platinum (VIP),Organic Search,1,2892,459,2892,459,2433,84.1
5007197,2022-01-11,Milan,Luxury Watches,Platinum (VIP),Walk-in,1,13036,3016,13036,3016,10020,76.9
5003158,2022-01-11,New York,Designer Handbags,Silver,Paid Social,1,3229,672,3229,672,2557,79.2
5009509,2022-01-11,Paris,Luxury Watches,First-Time Buyer,Organic Search,1,11722,3178,11722,3178,8544,72.9
5004453,2022-01-11,New York,Designer Handbags,First-Time Buyer,Walk-in,1,3214,783,3214,783,2431,75.6
5005417,2022-01-11,New York,Designer Handbags,Gold,Exclusive Invite,1,3687,669,3687,669,3018,81.9
5001839,2022-01-11,Paris,Designer Handbags,Silver,Organic Search,1,3151,1088,3151,1088,2063,65.5
5009208,2022-01-11,Tokyo,Luxury Watches,First-Time Buyer,Exclusive Invite,1,14603,2337,14603,2337,12266,84.0
5006098,2022-01-11,Milan,Fine Jewelry,First-Time Buyer,Organic Search,1,7942,1362,7942,1362,6580,82.9
5002908,2022-01-11,Tokyo,Designer Handbags,First-Time Buyer,Organic Search,1,3272,770,3272,770,2502,76.5
5004946,2022-01-12,Dubai,Designer Handbags,First-Time Buyer,Exclusive Invite,2,3122,588,6244,1176,5068,81.2
5002607,2022-01-12,Dubai,Designer Handbags,Platinum (VIP),Paid Social,1,3589,976,3589,976,2613,72.8
5001865,2022-01-12,Milan,Luxury Watches,Silver,Walk-in,1,12954,4497,12954,4497,8457,65.3
5005397,2022-01-12,Paris,Luxury Watches,First-Time Buyer,Organic Search,1,13914,4132,13914,4132,9782,70.3
5000860,2022-01-12,Milan,Fine Jewelry,First-Time Buyer,Organic Search,1,7691,2405,7691,2405,5286,68.7
5003342,2022-01-12,Dubai,Luxury Watches,Silver,Organic Search,3,13911,4056,41733,12168,29565,70.8
5000737,2022-01-12,New York,Designer Handbags,Gold,Walk-in,2,3377,779,6754,1558,5196,76.9
5005737,2022-01-12,Milan,Fine Jewelry,Gold,Organic Search,2,9497,2634,18994,5268,13726,72.3
5003385,2022-01-12,Dubai,Haute Fragrance,First-Time Buyer,Organic Search,1,391,96,391,96,295,75.4
5004077,2022-01-12,Tokyo,Designer Handbags,Silver,Walk-in,1,3301,778,3301,778,2523,76.4
5006926,2022-01-12,New York,Designer Handbags,Silver,Walk-in,1,3269,789,3269,789,2480,75.9
5001981,2022-01-12,New York,Fine Jewelry,First-Time Buyer,Organic Search,1,7664,1331,7664,1331,6333,82.6
5004289,2022-01-13,Paris,Designer Handbags,Silver,Exclusive Invite,1,3034,471,3034,471,2563,84.5
5007080,2022-01-13,Tokyo,Haute Fragrance,Gold,Paid Social,1,396,68,396,68,328,82.8
5000313,2022-01-13,New York,Luxury Watches,Gold,Organic Search,1,12146,2359,12146,2359,9787,80.6
5006826,2022-01-13,New York,Haute Fragrance,First-Time Buyer,Paid Social,1,349,111,349,111,238,68.2
5001466,2022-01-13,Paris,Haute Fragrance,Gold,Organic Search,1,334,109,334,109,225,67.4
5005688,2022-01-13,Paris,Luxury Watches,Gold,Organic Search,2,12643,3563,25286,7126,18160,71.8
5002196,2022-01-13,Tokyo,Designer Handbags,First-Time Buyer,Walk-in,1,2964,457,2964,457,2507,84.6
5003975,2022-01-13,Dubai,Designer Handbags,First-Time Buyer,Paid Social,1,3784,876,3784,876,2908,76.8
5002022,2022-01-13,Milan,Luxury Watches,Gold,Walk-in,1,13809,2182,13809,2182,11627,84.2
5008688,2022-01-13,Paris,Designer Handbags,First-Time Buyer,Walk-in,1,3049,853,3049,853,2196,72.0
5005119,2022-01-13,Paris,Luxury Watches,First-Time Buyer,Walk-in,2,14865,4237,29730,8474,21256,71.5
5003913,2022-01-13,Paris,Luxury Watches,First-Time Buyer,Exclusive Invite,1,13874,2596,13874,2596,11278,81.3
5004602,2022-01-13,Tokyo,Luxury Watches,Gold,Walk-in,1,11872,2555,11872,2555,9317,78.5
5001615,2022-01-13,Milan,Fine Jewelry,First-Time Buyer,Paid Social,1,9234,2103,9234,2103,7131,77.2
5003894,2022-01-13,Milan,Designer Handbags,First-Time Buyer,Organic Search,1,3620,974,3620,974,2646,73.1
5003260,2022-01-13,Paris,Designer Handbags,Gold,Paid Social,1,3371,1176,3371,1176,2195,65.1
5005308,2022-01-13,Milan,Luxury Watches,Platinum (VIP),Walk-in,1,12138,3261,12138,3261,8877,73.1
5005133,2022-01-13,Dubai,Designer Handbags,Gold,Exclusive Invite,1,3390,588,3390,588,2802,82.7
5007129,2022-01-13,New York,Haute Fragrance,Silver,Walk-in,1,409,138,409,138,271,66.3
5001624,2022-01-13,Paris,Haute Fragrance,Gold,Organic Search,1,413,63,413,63,350,84.7
5002170,2022-01-13,New York,Luxury Watches,First-Time Buyer,Walk-in,2,12383,2521,24766,5042,19724,79.6
5004631,2022-01-14,Paris,Luxury Watches,Silver,Exclusive Invite,1,13033,4052,13033,4052,8981,68.9
5002269,2022-01-14,Tokyo,Fine Jewelry,Gold,Organic Search,1,9935,3065,9935,3065,6870,69.1
5000905,2022-01-14,Tokyo,Fine Jewelry,Platinum (VIP),Walk-in,1,9195,2636,9195,2636,6559,71.3
5009970,2022-01-14,Paris,Designer Handbags,Platinum (VIP),Paid Social,1,2999,567,2999,567,2432,81.1
5006522,2022-01-14,Tokyo,Fine Jewelry,Gold,Exclusive Invite,1,9409,3265,9409,3265,6144,65.3
5002444,2022-01-14,Dubai,Haute Fragrance,First-Time Buyer,Paid Social,1,325,90,325,90,235,72.3
5003088,2022-01-14,New York,Haute Fragrance,First-Time Buyer,Walk-in,1,412,119,412,119,293,71.1
5004241,2022-01-14,Paris,Designer Handbags,Gold,Organic Search,1,3779,1007,3779,1007,2772,73.4
5000055,2022-01-14,Dubai,Designer Handbags,Silver,Paid Social,1,3520,870,3520,870,2650,75.3
5009790,2022-01-14,Tokyo,Luxury Watches,First-Time Buyer,Paid Social,1,13319,3125,13319,3125,10194,76.5
5004667,2022-01-14,New York,Haute Fragrance,Silver,Paid Social,1,348,99,348,99,249,71.6
5001571,2022-01-14,Milan,Haute Fragrance,Silver,Walk-in,1,417,118,417,118,299,71.7
5003553,2022-01-14,Tokyo,Designer Handbags,Silver,Organic Search,1,3676,1166,3676,1166,2510,68.3
5002099,2022-01-14,Dubai,Designer Handbags,First-Time Buyer,Paid Social,1,3088,1007,3088,1007,2081,67.4
5001379,2022-01-14,Dubai,Luxury Watches,Platinum (VIP),Walk-in,1,14554,3723,14554,3723,10831,74.4
5007734,2022-01-15,New York,Luxury Watches,Silver,Organic Search,1,13240,2481,13240,2481,10759,81.3
5000005,2022-01-15,Paris,Designer Handbags,Silver,Organic Search,1,3523,658,3523,658,2865,81.3
5003307,2022-01-15,Tokyo,Designer Handbags,Silver,Organic Search,1,3617,1112,3617,1112,2505,69.3
5004433,2022-01-15,Dubai,Luxury Watches,Gold,Exclusive Invite,1,12292,4065,12292,4065,8227,66.9
5009334,2022-01-15,New York,Designer Handbags,Silver,Exclusive Invite,1,3162,689,3162,689,2473,78.2
5007851,2022-01-15,New York,Luxury Watches,Gold,Paid Social,3,13163,3714,39489,11142,28347,71.8
5007571,2022-01-15,Dubai,Luxury Watches,First-Time Buyer,Walk-in,2,12940,2880,25880,5760,20120,77.7
5000673,2022-01-15,New York,Luxury Watches,Silver,Organic Search,1,14456,3067,14456,3067,11389,78.8
5009447,2022-01-15,Dubai,Designer Handbags,Silver,Organic Search,1,3046,955,3046,955,2091,68.6
5007144,2022-01-15,Paris,Haute Fragrance,First-Time Buyer,Paid Social,1,344,119,344,119,225,65.4
5002696,2022-01-15,Dubai,Fine Jewelry,First-Time Buyer,Walk-in,1,10118,2438,10118,2438,7680,75.9
5005478,2022-01-15,New York,Luxury Watches,Silver,Organic Search,1,14851,2729,14851,2729,12122,81.6
5005867,2022-01-16,Milan,Haute Fragrance,Platinum (VIP),Walk-in,1,351,53,351,53,298,84.9
5008238,2022-01-16,Dubai,Designer Handbags,First-Time Buyer,Organic Search,1,2989,517,2989,517,2472,82.7
5000323,2022-01-16,Tokyo,Designer Handbags,First-Time Buyer,Organic Search,1,3789,653,3789,653,3136,82.8
5009449,2022-01-16,New York,Haute Fragrance,Silver,Organic Search,1,404,107,404,107,297,73.5
5003185,2022-01-16,Dubai,Fine Jewelry,First-Time Buyer,Paid Social,1,8490,2120,8490,2120,6370,75.0
5000037,2022-01-16,Paris,Designer Handbags,Gold,Organic Search,1,3583,847,3583,847,2736,76.4
5002624,2022-01-16,Paris,Designer Handbags,First-Time Buyer,Walk-in,1,3296,849,3296,849,2447,74.2
5002400,2022-01-16,Dubai,Fine Jewelry,Platinum (VIP),Exclusive Invite,2,9841,2730,19682,5460,14222,72.3
